Frequency NON_00 NON_01 NON_11 IBD_00 IBD_01 IBD_11
0.688 0.10200128 0.39808333 0.49991539 0.31034720 0.01074533 0.67890746
0.690 0.10021692 0.39824050 0.50154257 0.30592082 0.01069961 0.68337957
0.692 0.09843257 0.39839767 0.50316976 0.30149444 0.01065388 0.68785168
0.694 0.09664821 0.39855485 0.50479694 0.29706805 0.01060815 0.69232379
0.696 0.09511585 0.39825511 0.50662903 0.29536229 0.01073680 0.69390091
0.698 0.09383549 0.39749847 0.50866604 0.29637715 0.01103982 0.69258303
0.700 0.09255513 0.39674183 0.51070304 0.29739201 0.01134284 0.69126515
0.702 0.09127477 0.39598519 0.51274004 0.29840687 0.01164587 0.68994727
0.704 0.08999441 0.39522854 0.51477704 0.29942172 0.01194889 0.68862939
0.706 0.08873362 0.39401063 0.51725575 0.29978380 0.01209138 0.68812482
0.708 0.08749238 0.39233146 0.52017616 0.29949309 0.01207334 0.68843357
0.710 0.08625115 0.39065228 0.52309657 0.29920239 0.01205530 0.68874231
0.712 0.08500992 0.38897310 0.52601698 0.29891168 0.01203726 0.68905106
0.714 0.08376868 0.38729393 0.52893739 0.29862097 0.01201922 0.68935981
0.716 0.08275339 0.38405771 0.53318890 0.29741412 0.01198649 0.69059939
0.718 0.08196405 0.37926445 0.53877150 0.29529114 0.01193907 0.69276979
0.720 0.08117470 0.37447119 0.54435411 0.29316815 0.01189164 0.69494020
0.722 0.08038536 0.36967792 0.54993672 0.29104517 0.01184422 0.69711061
0.724 0.07959601 0.36488466 0.55551932 0.28892218 0.01179680 0.69928102
0.726 0.07869852 0.36165912 0.55964236 0.28667101 0.01173745 0.70159154
0.728 0.07769288 0.36000128 0.56230584 0.28429166 0.01166618 0.70404216
0.730 0.07668725 0.35834345 0.56496931 0.28191231 0.01159491 0.70649278
0.732 0.07568161 0.35668561 0.56763278 0.27953296 0.01152363 0.70894340
0.734 0.07467597 0.35502778 0.57029626 0.27715361 0.01145236 0.71139403
0.736 0.07351125 0.35335717 0.57313158 0.27452971 0.01148332 0.71398697
0.738 0.07218744 0.35167380 0.57613876 0.27166127 0.01161651 0.71672222
0.740 0.07086364 0.34999043 0.57914593 0.26879282 0.01174970 0.71945748
0.742 0.06953984 0.34830706 0.58215311 0.26592438 0.01188289 0.72219274
0.744 0.06821603 0.34662369 0.58516028 0.26305593 0.01201608 0.72492799
0.746 0.06700699 0.34526927 0.58772374 0.26115395 0.01210111 0.72674493
0.748 0.06591271 0.34424382 0.58984347 0.26021845 0.01213800 0.72764355
0.750 0.06481843 0.34321836 0.59196321 0.25928294 0.01217489 0.72854217
0.752 0.06372415 0.34219291 0.59408295 0.25834743 0.01221177 0.72944079
0.754 0.06262986 0.34116745 0.59620269 0.25741193 0.01224866 0.73033941
0.756 0.06151502 0.34039040 0.59809458 0.25553861 0.01217229 0.73228909
0.758 0.06037960 0.33986177 0.59975864 0.25272750 0.01198267 0.73528983
0.760 0.05924418 0.33933313 0.60142269 0.24991638 0.01179305 0.73829057
0.762 0.05810876 0.33880449 0.60308675 0.24710527 0.01160343 0.74129130
0.764 0.05697335 0.33827585 0.60475080 0.24429415 0.01141381 0.74429204
0.766 0.05586874 0.33608820 0.60804306 0.24175497 0.01125429 0.74699074
0.768 0.05479496 0.33224153 0.61296351 0.23948774 0.01112487 0.74938739
0.770 0.05372117 0.32839486 0.61788397 0.23722051 0.01099544 0.75178405
0.772 0.05264739 0.32454819 0.62280443 0.23495327 0.01086602 0.75418071
0.774 0.05157360 0.32070152 0.62772488 0.23268604 0.01073660 0.75657736
0.776 0.05064432 0.31846059 0.63089509 0.23142628 0.01073949 0.75783423
0.778 0.04985955 0.31782541 0.63231504 0.23117400 0.01087471 0.75795129
0.780 0.04907477 0.31719023 0.63373500 0.23092171 0.01100993 0.75806836
0.782 0.04829000 0.31655505 0.63515496 0.23066943 0.01114515 0.75818542
0.784 0.04750522 0.31591987 0.63657491 0.23041714 0.01128037 0.75830249
0.786 0.04679675 0.31395327 0.63924998 0.23029206 0.01145733 0.75825062
0.788 0.04616458 0.31065527 0.64318015 0.23029418 0.01167601 0.75802981
0.790 0.04553242 0.30735727 0.64711032 0.23029630 0.01189469 0.75780901
0.792 0.04490025 0.30405926 0.65104049 0.23029842 0.01211338 0.75758820
0.794 0.04426808 0.30076126 0.65497066 0.23030054 0.01233206 0.75736740
0.796 0.04354500 0.29673730 0.65971770 0.22695479 0.01236137 0.76068384
0.798 0.04273100 0.29198740 0.66528161 0.22026118 0.01220129 0.76753753
0.800 0.04191700 0.28723749 0.67084552 0.21356757 0.01204122 0.77439122
0.802 0.04110299 0.28248758 0.67640942 0.20687395 0.01188114 0.78124490
0.804 0.04028899 0.27773767 0.68197333 0.20018034 0.01172107 0.78809859
0.806 0.03935451 0.27541599 0.68522950 0.19635494 0.01131665 0.79232840
0.808 0.03829953 0.27552254 0.68617793 0.19539776 0.01066791 0.79393433
0.810 0.03724456 0.27562909 0.68712635 0.19444058 0.01001916 0.79554026
0.812 0.03618959 0.27573564 0.68807478 0.19348339 0.00937042 0.79714619
0.814 0.03513461 0.27584218 0.68902321 0.19252621 0.00872167 0.79875212
0.816 0.03420856 0.27409888 0.69169256 0.19075381 0.00860983 0.80063635
0.818 0.03341144 0.27050573 0.69608283 0.18816621 0.00903490 0.80279890
0.820 0.03261432 0.26691257 0.70047311 0.18557860 0.00945996 0.80496144
0.822 0.03181719 0.26331942 0.70486339 0.18299099 0.00988502 0.80712399
0.824 0.03102007 0.25972627 0.70925366 0.18040338 0.01031009 0.80928654
0.826 0.03033731 0.25775943 0.71190326 0.17885623 0.01055307 0.81059070
0.828 0.02976892 0.25741891 0.71281217 0.17834954 0.01061396 0.81103650
0.830 0.02920053 0.25707839 0.71372108 0.17784286 0.01067485 0.81148229
0.832 0.02863214 0.25673786 0.71463000 0.17733617 0.01073575 0.81192808
0.834 0.02806375 0.25639734 0.71553891 0.17682949 0.01079664 0.81237387
0.836 0.02737205 0.25505393 0.71757402 0.17480269 0.01074770 0.81444961
0.838 0.02655704 0.25270764 0.72073533 0.17125577 0.01058894 0.81815529
0.840 0.02574202 0.25036134 0.72389664 0.16770885 0.01043017 0.82186098
0.842 0.02492701 0.24801504 0.72705794 0.16416193 0.01027141 0.82556666
0.844 0.02411200 0.24566875 0.73021925 0.16061501 0.01011264 0.82927235
0.846 0.02346240 0.24253595 0.73400165 0.15912154 0.01008512 0.83079334
0.848 0.02297819 0.23861665 0.73840516 0.15968151 0.01018884 0.83012965
0.850 0.02249399 0.23469735 0.74280866 0.16024148 0.01029256 0.82946596
0.852 0.02200978 0.23077806 0.74721216 0.16080146 0.01039628 0.82880227
0.854 0.02152558 0.22685876 0.75161567 0.16136143 0.01050000 0.82813857
0.856 0.02095261 0.22365508 0.75539231 0.15958285 0.01038215 0.83003500
0.858 0.02029087 0.22116702 0.75854211 0.15546572 0.01004274 0.83449155
0.860 0.01962914 0.21867895 0.76169191 0.15134858 0.00970332 0.83894810
0.862 0.01896741 0.21619089 0.76484170 0.14723145 0.00936391 0.84340464
0.864 0.01830567 0.21370283 0.76799150 0.14311431 0.00902450 0.84786119
0.866 0.01767837 0.21130088 0.77102075 0.13999278 0.00882931 0.85117790
0.868 0.01708549 0.20898505 0.77392945 0.13786685 0.00877837 0.85335478
0.870 0.01649261 0.20666923 0.77683816 0.13574092 0.00872742 0.85553166
0.872 0.01589974 0.20435340 0.77974687 0.13361499 0.00867647 0.85770854
0.874 0.01530686 0.20203757 0.78265557 0.13148906 0.00862553 0.85988542
0.876 0.01476524 0.19950370 0.78573106 0.12941974 0.00886395 0.86171631
0.878 0.01427487 0.19675180 0.78897334 0.12740705 0.00939174 0.86320121
0.880 0.01378450 0.19399989 0.79221561 0.12539435 0.00991953 0.86468612
0.882 0.01329413 0.19124799 0.79545789 0.12338165 0.01044733 0.86617102
0.884 0.01280375 0.18849609 0.79870016 0.12136895 0.01097512 0.86765593
0.886 0.01235550 0.18565581 0.80198869 0.12019939 0.01146105 0.86833956
0.888 0.01194937 0.18272716 0.80532347 0.11987298 0.01190510 0.86822192
0.890 0.01154324 0.17979851 0.80865825 0.11954656 0.01234916 0.86810427
0.892 0.01113711 0.17686986 0.81199303 0.11922015 0.01279322 0.86798663
0.894 0.01073097 0.17394121 0.81532781 0.11889374 0.01323728 0.86786899
0.896 0.01028378 0.17138102 0.81833520 0.11632389 0.01324266 0.87043344
0.898 0.00979553 0.16918930 0.82101518 0.11151062 0.01280937 0.87568001
0.900 0.00930727 0.16699757 0.82369516 0.10669735 0.01237608 0.88092657
0.902 0.00881902 0.16480584 0.82637514 0.10188407 0.01194279 0.88617313
0.904 0.00833076 0.16261411 0.82905512 0.09707080 0.01150950 0.89141970
0.906 0.00791830 0.15965449 0.83242721 0.09424538 0.01121035 0.89454427
0.908 0.00758163 0.15592696 0.83649141 0.09340783 0.01104532 0.89554685
0.910 0.00724496 0.15219944 0.84055560 0.09257027 0.01088029 0.89654944
0.912 0.00690829 0.14847191 0.84461979 0.09173271 0.01071527 0.89755202
0.914 0.00657163 0.14474439 0.84868399 0.09089515 0.01055024 0.89855461
0.916 0.00623701 0.14156713 0.85219586 0.08923414 0.01051815 0.90024771
0.918 0.00590444 0.13894015 0.85515541 0.08674968 0.01061899 0.90263133
0.920 0.00557187 0.13631317 0.85811496 0.08426522 0.01071983 0.90501495
0.922 0.00523930 0.13368620 0.86107450 0.08178076 0.01082067 0.90739857
0.924 0.00490673 0.13105922 0.86403405 0.07929630 0.01092151 0.90978219
0.926 0.00461999 0.12735597 0.86802403 0.07737893 0.01095923 0.91166184
0.928 0.00437909 0.12257646 0.87304445 0.07602865 0.01093383 0.91303751
0.930 0.00413818 0.11779695 0.87806487 0.07467837 0.01090843 0.91441319
0.932 0.00389727 0.11301744 0.88308529 0.07332810 0.01088304 0.91578887
0.934 0.00365636 0.10823793 0.88810571 0.07197782 0.01085764 0.91716454
0.936 0.00341791 0.10451752 0.89206457 0.07080623 0.01051511 0.91867866
0.938 0.00318193 0.10185620 0.89496186 0.06981333 0.00985545 0.92033123
0.940 0.00294595 0.09919489 0.89785916 0.06882043 0.00919579 0.92198379
0.942 0.00270997 0.09653357 0.90075646 0.06782753 0.00853612 0.92363635
0.944 0.00247399 0.09387226 0.90365376 0.06683462 0.00787646 0.92528891
0.946 0.00228767 0.09133555 0.90637679 0.06514316 0.00773566 0.92712119
0.948 0.00215101 0.08892345 0.90892555 0.06275312 0.00811370 0.92913317
0.950 0.00201435 0.08651135 0.91147431 0.06036309 0.00849175 0.93114516
0.952 0.00187769 0.08409925 0.91402307 0.05797306 0.00886980 0.93315715
0.954 0.00174103 0.08168715 0.91657183 0.05558302 0.00924784 0.93516913
0.956 0.00159376 0.07871427 0.91969197 0.05400510 0.00921632 0.93677859
0.958 0.00143589 0.07518062 0.92338349 0.05323928 0.00877521 0.93798551
0.960 0.00127802 0.07164697 0.92707501 0.05247346 0.00833411 0.93919243
0.962 0.00112016 0.06811331 0.93076653 0.05170764 0.00789301 0.94039935
0.964 0.00096229 0.06457966 0.93445805 0.05094182 0.00745191 0.94160627
0.966 0.00083862 0.06080795 0.93835342 0.04825635 0.00697399 0.94476965
0.968 0.00074917 0.05679820 0.94245264 0.04365124 0.00645927 0.94988949
0.970 0.00065971 0.05278844 0.94655185 0.03904612 0.00594454 0.95500933
0.972 0.00057025 0.04877868 0.95065107 0.03444101 0.00542982 0.96012918
0.974 0.00048079 0.04476893 0.95475028 0.02983589 0.00491509 0.96524902
0.976 0.00041378 0.04130851 0.95827771 0.02752158 0.00472740 0.96775102
0.978 0.00036923 0.03839741 0.96123336 0.02749809 0.00486673 0.96763518
0.980 0.00032467 0.03548632 0.96418900 0.02747459 0.00500607 0.96751934
0.982 0.00028011 0.03257523 0.96714465 0.02745109 0.00514541 0.96740350
0.984 0.00023556 0.02966414 0.97010030 0.02742760 0.00528474 0.96728766
0.986 0.00019822 0.02601365 0.97378813 0.02639169 0.00534994 0.96825836
0.988 0.00016812 0.02162375 0.97820814 0.02434338 0.00534101 0.97031561
0.990 0.00013801 0.01723385 0.98262814 0.02229507 0.00533208 0.97237285
0.992 0.00010790 0.01284395 0.98704815 0.02024676 0.00532315 0.97443009
0.994 0.00007779 0.00845405 0.99146816 0.01819845 0.00531421 0.97648733
0.996 0.00005019 0.00500728 0.99494253 0.01373944 0.00424780 0.98201276
0.998 0.00002509 0.00250364 0.99747127 0.00686972 0.00212390 0.99100638
1.000 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 1.00000000
