Frequency NON_00 NON_01 NON_11 IBD_00 IBD_01 IBD_11
0.158 0.72059572 0.25292980 0.02647447 0.84011912 0.00430418 0.15557669
0.160 0.71783692 0.25489922 0.02726386 0.83775728 0.00437684 0.15786588
0.162 0.71507813 0.25686863 0.02805324 0.83539543 0.00444950 0.16015507
0.164 0.71231933 0.25883804 0.02884263 0.83303358 0.00452215 0.16244426
0.166 0.70931524 0.26108978 0.02959498 0.83094294 0.00455819 0.16449886
0.168 0.70606584 0.26362386 0.03031029 0.82912351 0.00455762 0.16631887
0.170 0.70281645 0.26615794 0.03102561 0.82730408 0.00455704 0.16813888
0.172 0.69956705 0.26869202 0.03174092 0.82548465 0.00455646 0.16995889
0.174 0.69631766 0.27122610 0.03245624 0.82366522 0.00455588 0.17177890
0.176 0.69323756 0.27356185 0.03320059 0.82185659 0.00456949 0.17357392
0.178 0.69032677 0.27569925 0.03397398 0.82005875 0.00459729 0.17534395
0.180 0.68741597 0.27783666 0.03474737 0.81826092 0.00462509 0.17711398
0.182 0.68450518 0.27997406 0.03552076 0.81646309 0.00465289 0.17888401
0.184 0.68159438 0.28211147 0.03629415 0.81466526 0.00468069 0.18065404
0.186 0.67856852 0.28427918 0.03715230 0.81287678 0.00471257 0.18241064
0.188 0.67542760 0.28647719 0.03809521 0.81109765 0.00474853 0.18415382
0.190 0.67228668 0.28867520 0.03903812 0.80931851 0.00478449 0.18589699
0.192 0.66914576 0.29087321 0.03998103 0.80753938 0.00482045 0.18764017
0.194 0.66600484 0.29307122 0.04092394 0.80576025 0.00485641 0.18938334
0.196 0.66262134 0.29560508 0.04177358 0.80364518 0.00489834 0.19145648
0.198 0.65899526 0.29847481 0.04252994 0.80119418 0.00494624 0.19385958
0.200 0.65536918 0.30134453 0.04328630 0.79874318 0.00499415 0.19626268
0.202 0.65174309 0.30421425 0.04404265 0.79629218 0.00504205 0.19866577
0.204 0.64811701 0.30708397 0.04479901 0.79384118 0.00508995 0.20106887
0.206 0.64460065 0.30980981 0.04558954 0.79123042 0.00521535 0.20355423
0.208 0.64119401 0.31239175 0.04641424 0.78845990 0.00541825 0.20612185
0.210 0.63778737 0.31497369 0.04723894 0.78568938 0.00562115 0.20868947
0.212 0.63438073 0.31755563 0.04806364 0.78291886 0.00582404 0.21125710
0.214 0.63097409 0.32013757 0.04888834 0.78014834 0.00602694 0.21382472
0.216 0.62759247 0.32264439 0.04976314 0.77796939 0.00604313 0.21598748
0.218 0.62423586 0.32507610 0.05068804 0.77638200 0.00587261 0.21774539
0.220 0.62087926 0.32750780 0.05161294 0.77479461 0.00570209 0.21950330
0.222 0.61752266 0.32993950 0.05253784 0.77320722 0.00553157 0.22126121
0.224 0.61416606 0.33237120 0.05346274 0.77161983 0.00536105 0.22301912
0.226 0.61117402 0.33438384 0.05444214 0.76979985 0.00540272 0.22479743
0.228 0.60854653 0.33597742 0.05547605 0.76774727 0.00565658 0.22659615
0.230 0.60591904 0.33757099 0.05650997 0.76569470 0.00591044 0.22839486
0.232 0.60329156 0.33916456 0.05754388 0.76364213 0.00616430 0.23019357
0.234 0.60066407 0.34075814 0.05857779 0.76158955 0.00641816 0.23199229
0.236 0.59767705 0.34271662 0.05960633 0.75962127 0.00649243 0.23388630
0.238 0.59433049 0.34504001 0.06062950 0.75773729 0.00638710 0.23587561
0.240 0.59098393 0.34736340 0.06165267 0.75585331 0.00628177 0.23786492
0.242 0.58763737 0.34968679 0.06267584 0.75396932 0.00617644 0.23985424
0.244 0.58429081 0.35201018 0.06369901 0.75208534 0.00607112 0.24184355
0.246 0.58161434 0.35356357 0.06482209 0.75046709 0.00604844 0.24348447
0.248 0.57960794 0.35434697 0.06604509 0.74911459 0.00610842 0.24477699
0.250 0.57760155 0.35513036 0.06726809 0.74776208 0.00616840 0.24606952
0.252 0.57559515 0.35591376 0.06849109 0.74640958 0.00622837 0.24736205
0.254 0.57358876 0.35669715 0.06971409 0.74505708 0.00628835 0.24865457
0.256 0.57101085 0.35812584 0.07086331 0.74327146 0.00639860 0.25032994
0.258 0.56786144 0.36019982 0.07193875 0.74105272 0.00655912 0.25238816
0.260 0.56471202 0.36227380 0.07301418 0.73883399 0.00671964 0.25444637
0.262 0.56156260 0.36434778 0.07408962 0.73661526 0.00688016 0.25650458
0.264 0.55841319 0.36642175 0.07516506 0.73439653 0.00704068 0.25856280
0.266 0.55542428 0.36827694 0.07629878 0.73256888 0.00712846 0.26030266
